id,edad_1,edad_2,hijos,tipo,group
1947000,19,47,0,P,3
1948000,19,48,0,P,3
1949000,19,49,0,P,3
1950000,19,50,0,P,3
1951000,19,51,0,P,3
1952000,19,52,0,P,3
1953000,19,53,0,P,3
1954000,19,54,0,P,3
1955000,19,55,0,P,3
1956000,19,56,0,P,3
1957000,19,57,0,P,3
1958000,19,58,0,P,3
1959000,19,59,0,P,3
1960000,19,60,0,P,3
1961000,19,61,0,P,3
1962000,19,62,0,P,3
1963000,19,63,0,P,3
1964000,19,64,0,P,3
2000000,20,0,0,P,1
2020000,20,20,0,P,3
2021000,20,21,0,P,3
2022000,20,22,0,P,3
2023000,20,23,0,P,3
2024000,20,24,0,P,3
2025000,20,25,0,P,3
2026000,20,26,0,P,3
2027000,20,27,0,P,3
2028000,20,28,0,P,3
2029000,20,29,0,P,3
2030000,20,30,0,P,3
2031000,20,31,0,P,3
2032000,20,32,0,P,3
2033000,20,33,0,P,3
2034000,20,34,0,P,3
2035000,20,35,0,P,3
2036000,20,36,0,P,3
2037000,20,37,0,P,3
2038000,20,38,0,P,3
2039000,20,39,0,P,3
2040000,20,40,0,P,3
2041000,20,41,0,P,3
2042000,20,42,0,P,3
2043000,20,43,0,P,3
2044000,20,44,0,P,3
2045000,20,45,0,P,3
2046000,20,46,0,P,3
2047000,20,47,0,P,3
2048000,20,48,0,P,3
2049000,20,49,0,P,3
2050000,20,50,0,P,3
2051000,20,51,0,P,3
2052000,20,52,0,P,3
2053000,20,53,0,P,3
2054000,20,54,0,P,3
2055000,20,55,0,P,3
2056000,20,56,0,P,3
2057000,20,57,0,P,3
2058000,20,58,0,P,3
2059000,20,59,0,P,3
2060000,20,60,0,P,3
2061000,20,61,0,P,3
2062000,20,62,0,P,3
2063000,20,63,0,P,3
2064000,20,64,0,P,3
2100000,21,0,0,P,1
2121000,21,21,0,P,3
2122000,21,22,0,P,3
2123000,21,23,0,P,3
2124000,21,24,0,P,3
2125000,21,25,0,P,3
2126000,21,26,0,P,3
2127000,21,27,0,P,3
2128000,21,28,0,P,3
2129000,21,29,0,P,3
2130000,21,30,0,P,3
2131000,21,31,0,P,3
2132000,21,32,0,P,3
2133000,21,33,0,P,3
2134000,21,34,0,P,3
2135000,21,35,0,P,3
2136000,21,36,0,P,3
2137000,21,37,0,P,3
2138000,21,38,0,P,3
2139000,21,39,0,P,3
2140000,21,40,0,P,3
2141000,21,41,0,P,3
2142000,21,42,0,P,3
2143000,21,43,0,P,3
2144000,21,44,0,P,3
2145000,21,45,0,P,3
2146000,21,46,0,P,3
2147000,21,47,0,P,3
2148000,21,48,0,P,3
2149000,21,49,0,P,3
2150000,21,50,0,P,3
2151000,21,51,0,P,3
2152000,21,52,0,P,3
2153000,21,53,0,P,3
2154000,21,54,0,P,3
2155000,21,55,0,P,3
2156000,21,56,0,P,3
2157000,21,57,0,P,3
2158000,21,58,0,P,3
2159000,21,59,0,P,3
2160000,21,60,0,P,3
2161000,21,61,0,P,3
2162000,21,62,0,P,3
2163000,21,63,0,P,3
2164000,21,64,0,P,3
2200000,22,0,0,P,1
2222000,22,22,0,P,3
2223000,22,23,0,P,3
2224000,22,24,0,P,3
2225000,22,25,0,P,3
2226000,22,26,0,P,3
2227000,22,27,0,P,3
2228000,22,28,0,P,3
2229000,22,29,0,P,3
2230000,22,30,0,P,3
2231000,22,31,0,P,3
2232000,22,32,0,P,3
2233000,22,33,0,P,3
2234000,22,34,0,P,3
2235000,22,35,0,P,3
2236000,22,36,0,P,3
2237000,22,37,0,P,3
2238000,22,38,0,P,3
2239000,22,39,0,P,3
2240000,22,40,0,P,3
2241000,22,41,0,P,3
2242000,22,42,0,P,3
2243000,22,43,0,P,3
2244000,22,44,0,P,3
2245000,22,45,0,P,3
2246000,22,46,0,P,3
2247000,22,47,0,P,3
2248000,22,48,0,P,3
2249000,22,49,0,P,3
