id,edad_1,edad_2,hijos,tipo,group
2731041,27,31,4,D,4
2831041,28,31,4,D,4
2931041,29,31,4,D,4
3031041,30,31,4,D,4
1831051,18,31,5,D,4
1931051,19,31,5,D,4
2031051,20,31,5,D,4
2131051,21,31,5,D,4
2231051,22,31,5,D,4
2331051,23,31,5,D,4
2431051,24,31,5,D,4
2531051,25,31,5,D,4
2631051,26,31,5,D,4
2731051,27,31,5,D,4
2831051,28,31,5,D,4
2931051,29,31,5,D,4
3031051,30,31,5,D,4
3232001,32,32,0,D,3
3232011,32,32,1,D,4
3232021,32,32,2,D,4
3232031,32,32,3,D,4
3232041,32,32,4,D,4
3232051,32,32,5,D,4
1832001,18,32,0,D,3
1932001,19,32,0,D,3
2032001,20,32,0,D,3
2132001,21,32,0,D,3
2232001,22,32,0,D,3
2332001,23,32,0,D,3
2432001,24,32,0,D,3
2532001,25,32,0,D,3
2632001,26,32,0,D,3
2732001,27,32,0,D,3
2832001,28,32,0,D,3
2932001,29,32,0,D,3
3032001,30,32,0,D,3
3132001,31,32,0,D,3
1832011,18,32,1,D,4
1932011,19,32,1,D,4
2032011,20,32,1,D,4
2132011,21,32,1,D,4
2232011,22,32,1,D,4
2332011,23,32,1,D,4
2432011,24,32,1,D,4
2532011,25,32,1,D,4
2632011,26,32,1,D,4
2732011,27,32,1,D,4
2832011,28,32,1,D,4
2932011,29,32,1,D,4
3032011,30,32,1,D,4
3132011,31,32,1,D,4
1832021,18,32,2,D,4
1932021,19,32,2,D,4
2032021,20,32,2,D,4
2132021,21,32,2,D,4
2232021,22,32,2,D,4
2332021,23,32,2,D,4
2432021,24,32,2,D,4
2532021,25,32,2,D,4
2632021,26,32,2,D,4
2732021,27,32,2,D,4
2832021,28,32,2,D,4
2932021,29,32,2,D,4
3032021,30,32,2,D,4
3132021,31,32,2,D,4
1832031,18,32,3,D,4
1932031,19,32,3,D,4
2032031,20,32,3,D,4
2132031,21,32,3,D,4
2232031,22,32,3,D,4
2332031,23,32,3,D,4
2432031,24,32,3,D,4
2532031,25,32,3,D,4
2632031,26,32,3,D,4
2732031,27,32,3,D,4
2832031,28,32,3,D,4
2932031,29,32,3,D,4
3032031,30,32,3,D,4
3132031,31,32,3,D,4
1832041,18,32,4,D,4
1932041,19,32,4,D,4
2032041,20,32,4,D,4
2132041,21,32,4,D,4
2232041,22,32,4,D,4
2332041,23,32,4,D,4
2432041,24,32,4,D,4
2532041,25,32,4,D,4
2632041,26,32,4,D,4
2732041,27,32,4,D,4
2832041,28,32,4,D,4
2932041,29,32,4,D,4
3032041,30,32,4,D,4
3132041,31,32,4,D,4
1832051,18,32,5,D,4
1932051,19,32,5,D,4
2032051,20,32,5,D,4
2132051,21,32,5,D,4
2232051,22,32,5,D,4
2332051,23,32,5,D,4
2432051,24,32,5,D,4
2532051,25,32,5,D,4
2632051,26,32,5,D,4
2732051,27,32,5,D,4
2832051,28,32,5,D,4
2932051,29,32,5,D,4
3032051,30,32,5,D,4
3132051,31,32,5,D,4
3333001,33,33,0,D,3
3333011,33,33,1,D,4
3333021,33,33,2,D,4
3333031,33,33,3,D,4
3333041,33,33,4,D,4
3333051,33,33,5,D,4
1833001,18,33,0,D,3
1933001,19,33,0,D,3
2033001,20,33,0,D,3
2133001,21,33,0,D,3
2233001,22,33,0,D,3
2333001,23,33,0,D,3
2433001,24,33,0,D,3
2533001,25,33,0,D,3
2633001,26,33,0,D,3
2733001,27,33,0,D,3
2833001,28,33,0,D,3
2933001,29,33,0,D,3
3033001,30,33,0,D,3
3133001,31,33,0,D,3
3233001,32,33,0,D,3
1833011,18,33,1,D,4
1933011,19,33,1,D,4
2033011,20,33,1,D,4
2133011,21,33,1,D,4
2233011,22,33,1,D,4
2333011,23,33,1,D,4
2433011,24,33,1,D,4
2533011,25,33,1,D,4
2633011,26,33,1,D,4
2733011,27,33,1,D,4
2833011,28,33,1,D,4
2933011,29,33,1,D,4
3033011,30,33,1,D,4
3133011,31,33,1,D,4
3233011,32,33,1,D,4
1833021,18,33,2,D,4
1933021,19,33,2,D,4
2033021,20,33,2,D,4
2133021,21,33,2,D,4
2233021,22,33,2,D,4
2333021,23,33,2,D,4
2433021,24,33,2,D,4
2533021,25,33,2,D,4
2633021,26,33,2,D,4
2733021,27,33,2,D,4
2833021,28,33,2,D,4
2933021,29,33,2,D,4
3033021,30,33,2,D,4
3133021,31,33,2,D,4
3233021,32,33,2,D,4
1833031,18,33,3,D,4
1933031,19,33,3,D,4
2033031,20,33,3,D,4
2133031,21,33,3,D,4
2233031,22,33,3,D,4
2333031,23,33,3,D,4
2433031,24,33,3,D,4
2533031,25,33,3,D,4
2633031,26,33,3,D,4
2733031,27,33,3,D,4
2833031,28,33,3,D,4
2933031,29,33,3,D,4
3033031,30,33,3,D,4
3133031,31,33,3,D,4
3233031,32,33,3,D,4
1833041,18,33,4,D,4
1933041,19,33,4,D,4
2033041,20,33,4,D,4
2133041,21,33,4,D,4
2233041,22,33,4,D,4
2333041,23,33,4,D,4
2433041,24,33,4,D,4
2533041,25,33,4,D,4
2633041,26,33,4,D,4
2733041,27,33,4,D,4
2833041,28,33,4,D,4
2933041,29,33,4,D,4
3033041,30,33,4,D,4
3133041,31,33,4,D,4
3233041,32,33,4,D,4
1833051,18,33,5,D,4
1933051,19,33,5,D,4
2033051,20,33,5,D,4
2133051,21,33,5,D,4
2233051,22,33,5,D,4
2333051,23,33,5,D,4
2433051,24,33,5,D,4
2533051,25,33,5,D,4
2633051,26,33,5,D,4
2733051,27,33,5,D,4
2833051,28,33,5,D,4
2933051,29,33,5,D,4
3033051,30,33,5,D,4
3133051,31,33,5,D,4
3233051,32,33,5,D,4
3434001,34,34,0,D,3
3434011,34,34,1,D,4
3434021,34,34,2,D,4
